name,score,Native,Romaji,English,Hashtag,Season,Favorites,Popularity,Genres,Tags,Status Distribution,Prequel,Sequel,addictive,indecisive,forgettable,NoLoved,excelent,loved,choosed,Violence,Cliche,Action,Adventure,Comedy,Ecchi,Harem,Drama,Mystery,Romance,Fantasy,Mahou Shoujo,Magic,Horror,Sci-Fi,Mecha,Supernatural,Historical,Military,Politics,Isekai,Slice of Life,School life,Sports,Arts,Cute,Music,idol,Psychological,Spokon,Protagonist,Female Protagonist,Male Protagonist,Ensemble Cast,Shounen,Shoujo,Seinen,Josei,Worldbuilding,Iyashikei
Gunjou no Fanfare,56,群青のファンファーレ,Gunjou no Fanfare,Fanfare of Adolescence,#群青のファンファーレ,Spring 2022,42,5851,"Drama, Sports","Animals, 92%, Ensemble Cast, 79%, Male Protagonist, 79%, School, 73%, Primarily Male Cast, 71%, Primarily Teen Cast, 68%, CGI, 48%, POV, 40%, Idol, 20%, Show 2 spoiler tags","['Planning', '2469', 'Users', 'Completed', '1543', 'Users', 'Dropped', '929', 'Users', 'Current', '702', 'Users']",False,False,1.66,1.6,0.6,7801.33,2352,0.4,1.05,,,,,,,,0.38,,,,,,,,,,,,,,,0.06,0.38,,,,0.02,,,0.12,,0.06,0.06,,,,,,
Shin Ikkitousen,55,真・一騎当千,Shin Ikkitousen,Shin Ikki Tousen,#一騎当千,Spring 2022,62,4619,"Action, Ecchi, Supernatural","Martial Arts, 79%, Spearplay, 79%, Swordplay, 79%, Female Protagonist, 79%, Primarily Female Cast, 79%, Primarily Teen Cast, 79%, School, 79%, Nudity, 70%, Seinen, 60%, Shrine Maiden, 60%, Show 3 spoiler tags","['Planning', '2851', 'Users', 'Completed', '1147', 'Users', 'Current', '404', 'Users', 'Dropped', '142', 'Users']",True,False,8.08,2.49,0.12,4097.5,3410,0.74,2.2,,,0.88,,,0.86,,,,,0.11,,,,,,0.67,,,,,,0.11,,,0.11,,,,,0.11,0.11,,,,,0.08,,,
Build Divide: Code White,64,ビルディバイド -#FFFFFF-(コードホワイト),Build Divide: Code White,BUILD-DIVIDE -#FFFFFF- CODE WHITE,#ビルディバイド,Spring 2022,77,4150,"Action, Sci-Fi","Card Battle, 80%, Dystopian, 79%, Time Skip, 75%, Isekai, 46%, Female Protagonist, 20%, Show 1 spoiler tags","['Planning', '1852', 'Users', 'Completed', '1441', 'Users', 'Current', '556', 'Users', 'Dropped', '179', 'Users']",True,False,8.05,1.29,0.12,3449.35,4928,1.19,2.47,,,1.48,,,,,0.23,,,,,,,1.48,,,,,0.23,0.14,,,,,,,,,,0.06,0.06,,,,,,,0.23,
Kyoukai Senki Part 2,61,境界戦機 第二部,Kyoukai Senki Part 2,AMAIM Warrior at the Borderline Part 2,#kk_senki #境界戦機,Spring 2022,41,2638,"Fantasy, Mecha, Sci-Fi","Artificial Intelligence, 20%, Real Robot, 20%, Male Protagonist, 20%, Dystopian, 20%, Politics, 20%, Military, 20%, Show 1 spoiler tags","['Completed', '1263', 'Users', 'Planning', '839', 'Users', 'Current', '344', 'Users', 'Dropped', '134', 'Users']",True,False,9.43,0.66,0.11,3924.83,2501,0.95,1.56,,,,,,,,0.04,,,1.09,,,,1.26,1.17,,,0.04,0.09,,,,,,,,,0.04,,0.04,,0.04,,,,,,0.04,
Shadowverse Flame,58,シャドウバースF（フレイム）,Shadowverse Flame,Shadowverse Flame,#シャドウバース,Spring 2022,35,1409,Fantasy,"Card Battle, 75%, College, 60%, Video Games, 50%, Ensemble Cast, 20%, Primarily Child Cast, 10%","['Current', '647', 'Users', 'Planning', '519', 'Users', 'Dropped', '157', 'Users', 'Paused', '54', 'Users']",True,False,0.0,0.0,0.0,2334.91,2030,1.44,0.0,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,0.06,,,0.06,,,,,,
Yu☆Gi☆Oh! Go Rush!!,47,遊☆戯☆王ゴーラッシュ!!,Yu☆Gi☆Oh! Go Rush!!,nan,#ゴーラッシュ #yugioh #遊戯王,Spring 2022,21,1357,"Action, Fantasy","Card Battle, 79%, Aliens, 60%, Kids, 20%, Primarily Child Cast, 20%, Youkai, 20%","['Planning', '659', 'Users', 'Current', '439', 'Users', 'Dropped', '162', 'Users', 'Paused', '72', 'Users']",False,False,0.0,0.0,0.0,3037.1,987,0.73,0.0,,,0.36,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yofukashi no Uta,79,よふかしのうた,Yofukashi no Uta,Call of the Night,#よふかしのうた,Summer 2022,4702,112049,"Comedy, Psychological, Romance, Slice of Life, Supernatural","Vampire, 98%, Urban Fantasy, 95%, Urban, 92%, Male Protagonist, 86%, Heterosexual, 84%, Female Protagonist, 82%, Shounen, 77%, Coming of Age, 77%, Hikikomori, 69%, Philosophy, 65%, Trains, 60%, School, 56%, Primarily Teen Cast, 52%, Crossdressing, 41%, Nudity, 39%, Video Games, 36%, Show 12 spoiler tags","['Completed', '42012', 'Users', 'Planning', '39320', 'Users', 'Current', '23212', 'Users', 'Dropped', '4091', 'Users']",False,False,10.27,0.94,0.1,1882.58,371458,3.32,5.7,,,,0.65,5.46,0.43,,0.84,,7.29,2.11,,,,,,5.46,,,1.71,,5.46,0.61,,,,,,6.87,,1.83,0.89,0.94,,0.84,,,,,
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,80,ようこそ実力至上主義の教室へ 2nd Season,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite Season 2,#you_zitsu #よう実,Summer 2022,4532,107982,"Drama, Mystery, Psychological","School, 97%, Male Protagonist, 93%, Primarily Teen Cast, 92%, Battle Royale, 84%, Ensemble Cast, 77%, Philosophy, 76%, Coming of Age, 74%, Delinquents, 73%, Tsundere, 70%, Athletics, 66%, Kuudere, 65%, Female Harem, 49%, Show 10 spoiler tags","['Completed', '58041', 'Users', 'Planning', '25974', 'Users', 'Current', '19602', 'Users', 'Dropped', '2224', 'Users']",True,True,26.1,0.45,0.04,1906.13,362560,3.36,4.67,,1.51,0.94,,,,0.55,7.25,5.6,,,,,,,,,,,1.67,,,1.09,0.74,,,,,7.3,,1.9,,1.04,0.86,,,,,,
Hataraku Maou-sama!!,67,はたらく魔王さま！！,Hataraku Maou-sama!!,The Devil is a Part-Timer! Season 2,#maousama,Summer 2022,1512,92691,"Comedy, Fantasy, Romance, Slice of Life","Demons, 95%, Isekai, 93%, Work, 88%, Magic, 88%, Male Protagonist, 82%, Satire, 77%, Tsundere, 77%, Family Life, 68%, Anti-Hero, 66%, Primarily Adult Cast, 63%, Ensemble Cast, 60%, Hikikomori, 40%","['Planning', '45885', 'Users', 'Completed', '23242', 'Users', 'Current', '16074', 'Users', 'Dropped', '4560', 'Users']",True,True,5.1,1.97,0.2,4107.34,101304,1.09,2.58,,0.23,,,1.92,,,,,1.47,2.54,,0.26,,,,0.28,,,,0.27,2.38,,,,,,,,,0.33,,0.24,0.18,,,,,,
Lycoris Recoil,82,リコリス・リコイル,Lycoris Recoil,Lycoris Recoil,#リコリコ,Summer 2022,5060,92627,"Action, Comedy, Slice of Life","Primarily Female Cast, 95%, Female Protagonist, 94%, Guns, 89%, Urban, 80%, Work, 76%, Kuudere, 75%, Yuri, 63%, Tragedy, 48%, ""Boys Love"", 45%, Detective, 44%, Show 10 spoiler tags","['Completed', '43214', 'Users', 'Planning', '28627', 'Users', 'Current', '16440', 'Users', 'Dropped', '2209', 'Users']",False,False,19.56,0.66,0.05,1501.07,414920,4.48,6.96,,1.15,10.37,,7.65,,,,0.67,1.65,,,,,,,,,1.36,1.22,,9.97,,,,1.45,,,,,1.44,1.44,,,,,,,,
Overlord IV,80,オーバーロードⅣ,Overlord IV,Overlord IV,#overlord_anime,Summer 2022,3245,83424,"Action, Adventure, Fantasy","Magic, 93%, Anti-Hero, 91%, Skeleton, 87%, Virtual World, 82%, Isekai, 78%, Male Protagonist, 75%, Demons, 71%, Politics, 70%, Female Harem, 59%, Succubus, 56%, Gore, 54%, Maids, 54%, CGI, 50%, Monster Girl, 46%, Vampire, 41%, Monster Boy, 36%, Male Harem, 36%, Zombie, 20%, Show 2 spoiler tags","['Completed', '43262', 'Users', 'Planning', '26560', 'Users', 'Current', '11948', 'Users', 'Paused', '926', 'Users']",True,True,0.0,0.61,0.0,2056.68,259600,3.11,4.7,0.56,,6.31,5.19,,,0.71,,,,13.27,,0.96,,,,0.74,,,0.73,0.81,,,,,0.56,,,0.73,,0.78,,0.78,,,,,,,
"Kanojo, Okarishimasu 2nd Season",68,彼女、お借りします 第2期,"Kanojo, Okarishimasu 2nd Season",Rent-a-Girlfriend Season 2,#彼女お借りします #かのかり,Summer 2022,1618,77540,"Comedy, Drama, Romance","Heterosexual, 91%, Male Protagonist, 88%, Primarily Female Cast, 80%, Primarily Adult Cast, 79%, Kuudere, 72%, Tsundere, 70%, Female Protagonist, 70%, Work, 66%, Shounen, 62%, Slapstick, 60%, Acting, 53%, College, 52%, Trains, 37%, Show 4 spoiler tags","['Planning', '33578', 'Users', 'Completed', '26229', 'Users', 'Current', '11509', 'Users', 'Dropped', '4272', 'Users']",True,True,6.14,1.28,0.16,3258.79,110024,1.42,2.92,,0.55,,0.14,2.41,,,1.95,,2.66,,,,,,,,,,,,0.26,,,0.21,0.31,,,,,0.48,0.27,0.34,,0.24,,,,,
Made in Abyss: Retsujitsu no Ougonkyou,86,メイドインアビス 烈日の黄金郷,Made in Abyss: Retsujitsu no Ougonkyou,Made in Abyss: The Golden City of the Scorching Sun,#miabyss #メイドインアビス,Summer 2022,2583,73982,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi","Survival, 96%, Primarily Child Cast, 93%, Gore, 85%, Seinen, 85%, Lost Civilization, 84%, Travel, 81%, Female Protagonist, 80%, Philosophy, 72%, Monster Girl, 71%, Robots, 71%, Male Protagonist, 70%, Chibi, 64%, Language Barrier, 63%, Scat, 62%, Dungeon, 60%, Orphan, 60%, CGI, 51%, Food, 48%, Outdoor, 20%, Show 10 spoiler tags","['Planning', '31900', 'Users', 'Completed', '29983', 'Users', 'Current', '10130', 'Users', 'Paused', '1328', 'Users']",True,True,0.0,1.06,0.0,2463.2,222138,3.0,5.54,0.91,,0.91,7.09,,,,8.69,5.35,,6.87,,,5.35,5.35,,,,,0.77,,,,,,0.69,,,0.77,,1.61,0.86,0.75,,,,0.91,,0.9,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Meikyuu-hen,76,ダンジョンに出会いを求めるのは間違っているだろうかⅣ 新章 迷宮篇,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Meikyuu-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,#danmachi,Summer 2022,1371,56935,"Action, Adventure, Comedy, Fantasy, Romance","Dungeon, 95%, Male Protagonist, 93%, Gods, 80%, Mythology, 76%, Swordplay, 75%, Magic, 73%, Female Harem, 66%, Primarily Female Cast, 65%, Kemonomimi, 50%, Elf, 48%, Tanned Skin, 28%, Kuudere, 26%, CGI, 24%, Ensemble Cast, 20%, Show 3 spoiler tags","['Planning', '24485', 'Users', 'Completed', '23270', 'Users', 'Current', '7755', 'Users', 'Paused', '852', 'Users']",True,True,0.0,1.05,0.0,3156.13,104196,1.83,3.36,,0.36,3.76,2.89,2.89,,0.38,,,2.89,5.61,,0.42,,,,,,,,,,,,,0.38,,,,,0.58,,0.54,0.12,,,,,,
Isekai Oji-san,77,異世界おじさん,Isekai Oji-san,Uncle from Another World,#異世界おじさん #いせおじ,Summer 2022,1268,54356,"Adventure, Comedy, Fantasy","Isekai, 93%, Parody, 93%, Surreal Comedy, 90%, Meta, 89%, Magic, 85%, Male Protagonist, 85%, Otaku Culture, 80%, Video Games, 79%, Primarily Adult Cast, 78%, Elf, 75%, Tsundere, 75%, Memory Manipulation, 66%, Satire, 63%, Slapstick, 60%, Female Harem, 58%, Urban Fantasy, 50%, Episodic, 40%, Show 3 spoiler tags","['Current', '29527', 'Users', 'Planning', '16971', 'Users', 'Paused', '3642', 'Users', 'Dropped', '2258', 'Users']",False,False,0.0,0.0,0.0,3300.8,97636,1.8,0.0,,0.43,,2.88,6.05,,0.33,,,,5.29,,0.49,,,,,,,,0.54,,,,,,,,,,0.49,,0.49,,,,,,,
Mamahaha no Tsurego ga Motokano datta,67,継母の連れ子が元カノだった,Mamahaha no Tsurego ga Motokano datta,"""My Stepmoms Daughter is My Ex""",#連れカノ,Summer 2022,1216,50843,"Comedy, Romance","Female Protagonist, 92%, Inseki, 88%, Heterosexual, 87%, Male Protagonist, 83%, Tsundere, 80%, School, 79%, Family Life, 68%, Slapstick, 55%, Otaku Culture, 50%, Show 2 spoiler tags","['Completed', '22224', 'Users', 'Planning', '13888', 'Users', 'Current', '9765', 'Users', 'Dropped', '3525', 'Users']",False,False,6.3,0.62,0.16,2801.38,81472,1.6,2.55,,0.34,,,2.63,,,,,2.9,,,,,,,,,,,,0.29,0.34,,,,,,,,0.75,0.4,0.36,,,,,,,
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsuki Susumu,68,金装のヴェルメイユ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsuki Susumu,Vermeil in Gold,#ヴェルメイユ,Summer 2022,1694,46828,"Ecchi, Fantasy, Romance","Magic, 95%, School, 95%, Succubus, 87%, Demons, 83%, Monster Girl, 82%, Male Protagonist, 81%, Heterosexual, 80%, Age Gap, 70%, Female Harem, 69%, Nudity, 66%, Primarily Teen Cast, 65%, Shounen, 64%, Love Triangle, 62%, Yandere, 60%, Angels, 20%, Show 2 spoiler tags","['Completed', '18666', 'Users', 'Planning', '14315', 'Users', 'Current', '9639', 'Users', 'Dropped', '3020', 'Users']",False,False,6.18,0.77,0.16,1879.75,115192,2.46,4.07,,0.41,,,,4.27,0.47,,,6.24,7.77,,0.64,,,,0.56,,,,,,0.64,,,,,,,,0.55,,0.55,,0.43,,,,,
Engage Kiss,67,Engage Kiss,Engage Kiss,Engage Kiss,#エンゲージキス,Summer 2022,1054,44212,"Action, Comedy, Romance, Supernatural","Demons, 93%, Urban Fantasy, 82%, Love Triangle, 80%, Guns, 80%, Heterosexual, 78%, Male Protagonist, 75%, Henshin, 75%, Urban, 71%, Yandere, 70%, Swordplay, 66%, Age Gap, 60%, Succubus, 53%, Female Harem, 50%, Advertisement, 30%, Show 3 spoiler tags","['Completed', '15141', 'Users', 'Planning', '13967', 'Users', 'Current', '9137', 'Users', 'Dropped', '4295', 'Users']",False,False,3.53,0.92,0.28,2810.44,70618,1.6,2.91,,0.3,3.4,,2.15,,0.21,,,3.67,1.27,,,,,,2.94,,0.34,0.3,,,,,,,,,,,0.32,,0.32,,,,,,,
Kumichou Musume to Sewagakari,78,組長娘と世話係,Kumichou Musume to Sewagakari,"""The Yakuzas Guide to Babysitting""",#組長娘と世話係,Summer 2022,1254,41871,"Comedy, Slice of Life","Family Life, 92%, Yakuza, 91%, Josei, 79%, Primarily Adult Cast, 77%, Female Protagonist, 74%, Male Protagonist, 72%, Found Family, 64%, Urban, 63%, Iyashikei, 60%, Anti-Hero, 60%, Delinquents, 60%, Guns, 40%, LGBTQ+ Themes, 32%, Food, 30%, Show 2 spoiler tags","['Completed', '16556', 'Users', 'Planning', '14074', 'Users', 'Current', '8037', 'Users', 'Dropped', '1819', 'Users']",False,False,9.1,0.85,0.11,2604.42,97812,2.34,3.98,,,0.3,,3.79,,,,,,,,,,,,,,0.3,1.38,,6.46,,,,,,,,,1.11,0.56,0.55,,,,,0.6,,0.46
"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita",61,転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～,"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita",My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,#転生賢者,Summer 2022,1003,37285,"Action, Adventure, Comedy, Fantasy","Isekai, 94%, Magic, 81%, Male Protagonist, 72%, Religion, 66%, Dragons, 60%, Show 2 spoiler tags","['Completed', '14662', 'Users', 'Planning', '11725', 'Users', 'Current', '6772', 'Users', 'Dropped', '3362', 'Users']",False,False,4.36,0.8,0.23,2267.58,61183,1.64,2.85,,,1.88,1.88,1.88,,,,,,2.95,,0.31,,,,,,,0.25,0.35,,,,,,,,,,0.27,,0.27,,,,,,,
Kuro no Shoukanshi,71,黒の召喚士,Kuro no Shoukanshi,Black Summoner,#黒の召喚士,Summer 2022,1136,35388,"Action, Adventure, Fantasy","Isekai, 100%, Magic, 96%, Male Protagonist, 89%, Reincarnation, 81%, Gods, 76%, Female Harem, 75%, Demons, 72%, Slavery, 68%, Elf, 67%, CGI, 65%, Afterlife, 46%, Religion, 30%","['Completed', '20256', 'Users', 'Planning', '7509', 'Users', 'Current', '5763', 'Users', 'Dropped', '1369', 'Users']",False,False,14.8,0.37,0.07,2211.75,80656,2.28,3.1,,,3.32,3.32,,,0.5,,,,6.44,,0.64,,,,0.48,,,0.55,0.66,,,,,,,,,,0.59,,0.59,,,,,,,
Soredemo Ayumu wa Yosetekuru,70,それでも歩は寄せてくる,Soredemo Ayumu wa Yosetekuru,When Will Ayumu Make His Move?,#それあゆ,Summer 2022,546,33986,"Comedy, Romance, Slice of Life","Shogi, 88%, School Club, 84%, Heterosexual, 82%, Primarily Teen Cast, 80%, School, 79%, Slapstick, 65%, Shounen, 34%, Cute Girls Doing Cute Things, 34%, Show 1 spoiler tags","['Planning', '15981', 'Users', 'Completed', '9407', 'Users', 'Current', '5451', 'Users', 'Dropped', '2010', 'Users']",False,False,4.68,1.7,0.21,4357.18,38220,1.12,2.57,,,,,2.02,,,,,2.13,,,,,,,,,,,,1.61,0.25,,,0.11,,,,0.27,,,,,0.11,,,,,
Isekai Yakkyoku,73,異世界薬局,Isekai Yakkyoku,Parallel World Pharmacy,#異世界薬局,Summer 2022,940,33710,Fantasy,"Medicine, 94%, Isekai, 93%, Reincarnation, 87%, Male Protagonist, 80%, Educational, 79%, Magic, 72%, Iyashikei, 65%, Gods, 55%, Historical, 53%, Alchemy, 45%, Show 2 spoiler tags","['Completed', '18410', 'Users', 'Planning', '8313', 'Users', 'Current', '5388', 'Users', 'Dropped', '1036', 'Users']",False,False,17.77,0.45,0.06,2617.9,68620,2.04,2.88,,,,,,,,,,,4.5,,0.44,,,,,0.33,,,0.57,0.4,,,,,,,,,0.49,,0.49,,,,,,,0.4
RWBY: Hyousetsu Teikoku,61,RWBY 氷雪帝国,RWBY: Hyousetsu Teikoku,RWBY: Ice Queendom,#RWBY,Summer 2022,489,26054,"Action, Fantasy, Sci-Fi","Ensemble Cast, 95%, Fairy Tale, 92%, Primarily Female Cast, 91%, Super Power, 90%, School, 90%, Female Protagonist, 88%, Guns, 80%, Ojou-sama, 78%, Magic, 76%, Kemonomimi, 66%, Swordplay, 60%, CGI, 55%, Terrorism, 54%, Cyberpunk, 48%, Show 1 spoiler tags","['Planning', '11075', 'Users', 'Completed', '6620', 'Users', 'Current', '4652', 'Users', 'Dropped', '2591', 'Users']",False,False,2.55,1.67,0.39,3250.09,29829,1.14,2.65,,0.17,2.52,,,,,,,,2.35,,0.2,,1.57,,0.24,,0.21,0.14,,,0.24,,,0.24,,,,,0.48,0.23,,0.25,,,,,,
Saikin Yatotta Maid ga Ayashii,63,最近雇ったメイドが怪しい,Saikin Yatotta Maid ga Ayashii,The Maid I Hired Recently is Mysterious,#最近雇ったメイドが怪しい,Summer 2022,467,25347,"Comedy, Romance, Slice of Life","Maids, 99%, Tanned Skin, 92%, Heterosexual, 86%, Male Protagonist, 85%, Age Gap, 80%, Female Protagonist, 65%, Episodic, 65%, Ojou-sama, 40%, Shounen, 20%","['Planning', '10312', 'Users', 'Completed', '6716', 'Users', 'Current', '4717', 'Users', 'Dropped', '2676', 'Users']",False,False,2.51,1.54,0.4,3419.4,29421,1.16,2.57,,,,,1.41,,,,,2.35,,,,,,,,,,,,1.41,,,,0.28,,,,,0.33,0.18,0.24,,0.06,,,,,
Shadows House 2nd Season,79,シャドーハウス 2nd Season,Shadows House 2nd Season,SHADOWS HOUSE 2nd Season,#シャドーハウス,Summer 2022,520,25224,"Fantasy, Horror, Mystery, Slice of Life, Supernatural","Female Protagonist, 98%, Primarily Child Cast, 92%, Ojou-sama, 90%, Conspiracy, 85%, Slavery, 84%, Maids, 80%, Cute Girls Doing Cute Things, 79%, Kuudere, 75%, Seinen, 73%, Butler, 72%, Ensemble Cast, 64%, Urban Fantasy, 40%, Circus, 10%, Show 7 spoiler tags","['Completed', '10749', 'Users', 'Planning', '9966', 'Users', 'Current', '3454', 'Users', 'Paused', '623', 'Users']",True,False,0.0,0.93,0.0,3832.11,41080,1.63,2.89,,0.4,,,,,,,2.68,,3.11,,,2.68,,,2.68,,,0.45,,2.68,,,,0.85,,,,,0.87,0.53,,0.34,,,0.39,,,
Hoshi no Samidare,50,惑星のさみだれ,Hoshi no Samidare,Lucifer and the Biscuit Hammer,#惑星のさみだれ,Summer 2022,209,14652,"Action, Comedy, Drama, Psychological, Supernatural","Magic, 79%, Super Power, 79%, Seinen, 79%, Coming of Age, 73%, Male Protagonist, 50%, Animals, 50%, Ensemble Cast, 20%, Primarily Adult Cast, 20%, Cultivation, 20%, Urban Fantasy, 20%, Martial Arts, 20%, Heterosexual, 20%, College, 20%, Philosophy, 20%, Show 1 spoiler tags","['Planning', '6159', 'Users', 'Dropped', '3149', 'Users', 'Current', '2972', 'Users', 'Completed', '1781', 'Users']",False,False,0.57,3.46,1.77,3505.26,10450,0.71,2.2,,,0.63,,0.48,,,0.61,,0.02,0.1,,0.08,,,,0.63,,,0.02,,,,,,,,,0.51,,0.07,,0.05,0.02,,,0.08,,,
Tokyo Mew Mew New~♡,64,東京ミュウミュウ にゅ～♡,Tokyo Mew Mew New~♡,TOKYO MEW MEW NEW,#mewmew_new #東京ミュウミュウ,Summer 2022,185,12176,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Sci-Fi","Shoujo, 97%, Female Protagonist, 90%, Urban Fantasy, 88%, Aliens, 83%, Kemonomimi, 82%, Primarily Teen Cast, 80%, Magic, 80%, Primarily Female Cast, 79%, Love Triangle, 79%, Henshin, 78%, Primarily Child Cast, 60%, Heterosexual, 60%, School, 60%, Maids, 60%, Kuudere, 50%, Animals, 40%, Show 1 spoiler tags","['Planning', '5987', 'Users', 'Completed', '2855', 'Users', 'Current', '1987', 'Users', 'Dropped', '860', 'Users']",False,True,3.32,2.1,0.3,4212.24,11840,0.97,2.45,,0.26,,1.22,1.22,,,,,1.75,2.41,1.22,0.19,,1.22,,,,,,,,0.15,,,0.34,,,,,0.22,0.22,,,,0.24,,,,
Bucchigire!,57,ブッチギレ！,Bucchigire!,Shine on! Bakumatsu Bad Boys,#ブッチギレ #bucchigire,Summer 2022,118,10229,"Action, Fantasy","Samurai, 90%, Crime, 65%, Demons, 60%, Historical, 60%, Crossdressing, 40%, Chibi, 20%","['Planning', '4727', 'Users', 'Completed', '2173', 'Users', 'Current', '1498', 'Users', 'Dropped', '1482', 'Users']",False,False,1.47,2.18,0.68,4941.13,6726,0.66,1.83,,,0.65,,,,,,,,0.81,,,,,,0.08,0.08,,0.08,,,,,,0.03,,,,,,,,,,,,,,
ORIENT: Awajishima Gekitou-hen,69,オリエント 淡路島激闘編,ORIENT: Awajishima Gekitou-hen,ORIENT Part 2,#オリエント,Summer 2022,225,9552,"Action, Adventure, Comedy, Fantasy","Samurai, 79%, Swordplay, 73%, Male Protagonist, 60%, Shounen, 40%, Historical, 40%, Magic, 30%, Demons, 20%","['Completed', '4335', 'Users', 'Planning', '3414', 'Users', 'Current', '1375', 'Users', 'Dropped', '248', 'Users']",True,False,17.48,0.79,0.06,2929.28,15525,1.63,2.72,,,2.94,2.28,2.28,,,,,,3.4,,0.14,,,,0.09,0.18,,,,,,,,,,,,,0.27,,0.27,,0.18,,,,,
Love Live! Superstar!! 2nd Season,76,ラブライブ!スーパースター!! 2期,Love Live! Superstar!! 2nd Season,Love Live! Superstar!! Season 2,#lovelive #Liella,Summer 2022,242,8427,"Music, Slice of Life","Idol, 96%, Cute Girls Doing Cute Things, 89%, Primarily Female Cast, 87%, Primarily Teen Cast, 86%, Dancing, 83%, Female Protagonist, 82%, School, 76%, School Club, 76%, Ensemble Cast, 71%, Surreal Comedy, 28%, CGI, 23%, Show 2 spoiler tags","['Completed', '3898', 'Users', 'Planning', '3083', 'Users', 'Current', '1134', 'Users', 'Paused', '171', 'Users']",True,True,0.0,0.79,0.0,2646.5,18392,2.18,3.66,,,,,0.19,,,,,,,,,,,,,,,,,3.45,0.52,,0.57,1.21,3.45,0.66,,0.52,1.05,0.57,,0.49,,,,,,
Prima Doll,66,プリマドール,Prima Doll,Prima Doll,#プリマドール #PrimaDoll,Summer 2022,152,8363,"Drama, Sci-Fi, Slice of Life","Robots, 87%, Female Protagonist, 82%, Artificial Intelligence, 79%, Primarily Female Cast, 79%, Military, 79%, War, 75%, Cute Girls Doing Cute Things, 74%, Work, 74%, Memory Manipulation, 66%, Found Family, 60%, Steampunk, 40%, CGI, 20%, Show 3 spoiler tags","['Planning', '3904', 'Users', 'Completed', '2157', 'Users', 'Current', '1192', 'Users', 'Dropped', '804', 'Users']",False,False,2.68,1.81,0.37,3631.3,10032,1.2,3.0,,,,,,,,1.58,,,,,,,2.07,,,,0.49,,,2.42,,,,0.37,,,,,0.26,0.26,,,,,,,0.13,
Jashin-chan Dropkick X,72,邪神ちゃんドロップキックX,Jashin-chan Dropkick X,Dropkick on My Devil!!! X,#邪神ちゃんドロップキック,Summer 2022,159,8128,"Comedy, Slice of Life, Supernatural","Monster Girl, 80%, Parody, 79%, Meta, 79%, Angels, 79%, Primarily Female Cast, 79%, Female Protagonist, 79%, Satire, 79%, Gore, 79%, Demons, 79%, Seinen, 60%, Youkai, 60%, Slapstick, 50%, Educational, 20%, Isekai, 10%","['Planning', '3917', 'Users', 'Completed', '2677', 'Users', 'Current', '1133', 'Users', 'Dropped', '226', 'Users']",True,False,11.85,1.46,0.08,3680.6,11448,1.41,3.0,0.33,,0.33,,3.61,,,,,,1.24,,,,,,2.75,,,,0.04,2.09,,,,0.33,,,,,0.33,0.33,,,,,0.25,,,
Warau Arsnotoria Sun!,55,咲う アルスノトリア すんっ！,Warau Arsnotoria Sun!,Smile of the Arsnotoria the Animation,#アルスノ ＃すんすん,Summer 2022,88,7585,"Fantasy, Slice of Life","Female Protagonist, 100%, Cute Girls Doing Cute Things, 92%, Primarily Female Cast, 91%, Magic, 72%, School, 60%, Foreign, 60%, Kuudere, 53%, Show 2 spoiler tags","['Planning', '2977', 'Users', 'Completed', '1851', 'Users', 'Dropped', '1335', 'Users', 'Current', '1128', 'Users']",False,False,1.39,1.61,0.72,4740.62,4840,0.64,1.62,,0.06,,,,,,,,,0.75,,0.08,,,,,,,,,0.58,0.07,,,0.21,,,,,0.12,0.12,,,,,,,,
